,date,return_SPY,vol_SPY,RSI_SPY,label,return_AAPL,vol_AAPL,RSI_AAPL,return_MSFT,vol_MSFT,RSI_MSFT,return_XOM,vol_XOM,RSI_XOM,return_JNJ,vol_JNJ,RSI_JNJ,return_GE,vol_GE,RSI_GE,return_BRK-B,vol_BRK-B,RSI_BRK-B,return_AMZN,vol_AMZN,RSI_AMZN,return_WFC,vol_WFC,RSI_WFC,return_JPM,vol_JPM,RSI_JPM,return_T,vol_T,RSI_T
31,2000-02-16,-0.0147300,1.38835157,44.5294818,1.0,-0.0409661,4.12273720,48.8825200,-0.0095117,2.46330440,32.2354753,0.00866824,1.93590797,68.9216791,0.00156861,1.96240647,42.4735584,-0.0134089,1.67921135,36.9354851,0.08616188,1.83174316,66.2181470,-0.0423370,5.36178947,29.1875196,-0.0447761,2.47592018,41.4629890,-0.0192753,2.29130672,55.1729139,-0.0399385,2.13466390,27.2960163
32,2000-02-17,-0.0051711,1.30709807,43.5143884,1.0,0.00657175,3.97825613,49.4371393,0.02048652,2.38240949,35.8006435,-0.0265625,1.90095531,62.4008193,-0.0078308,1.84560130,41.4034804,-0.0343237,1.59057466,32.1760955,-0.0006009,2.00374669,66.0890444,-0.0238726,5.22552353,28.1753940,-0.0295138,2.46010466,38.9972953,-0.0141509,2.28241926,52.1430127,0.02400000,2.07275689,31.4245836
33,2000-02-18,-0.0214686,1.31837237,39.5085350,1.0,-0.0315561,3.95138140,46.7944133,-0.0457967,2.41555173,31.7029853,-0.0369181,1.80777745,54.8409107,-0.0220994,1.83651766,38.4801583,-0.0448475,1.69920048,27.3817571,0.01383051,1.95097721,67.6511504,-0.0615942,4.80929440,25.7532542,-0.0411449,2.52487075,35.8878031,-0.0462520,2.30901262,43.7968657,-0.0437500,2.10096783,28.2048725
34,2000-02-22,-0.0025407,1.33636296,39.0600843,1.0,0.02303378,3.76810762,48.8749378,-0.0131492,2.45654719,30.6673356,0.00583332,1.75851267,55.7200509,0.01533493,1.80572563,41.4986228,0.03596401,1.80412764,35.3302264,-0.0391458,1.85851052,59.2208554,-0.0183397,4.81448893,25.1038736,0.04477612,2.51487845,41.1600416,0.03344491,2.41586264,49.7683782,-0.0457516,2.17643288,25.4020228
35,2000-02-23,0.01180863,1.15124472,42.3282408,1.0,0.02141670,3.68699302,50.8439765,0.00466353,2.45681739,31.5106450,-0.0107705,1.76817471,53.6318772,-0.0317965,1.71504594,37.3444177,0.00675037,1.79493595,36.7792862,-0.0024691,1.95943284,58.7430664,0.10816125,4.67225321,35.2789265,-0.0285713,2.60451160,38.8654239,0.00161803,2.46610329,50.0541057,-0.0205479,2.30036676,24.2880438
36,2000-02-24,-0.0201372,1.17917176,38.4924002,1.0,-0.0090053,3.69975614,49.9541023,0.00530503,2.44805887,32.5208199,-0.0242881,1.75747354,49.2021381,-0.0311986,1.73683738,33.8751090,0.00383153,1.81606064,37.6391868,-0.0476484,1.95484262,50.3260433,-0.0283939,5.01482128,33.8386931,-0.0330882,2.59325325,36.4064626,-0.0177704,2.41422323,46.8940773,-0.0069929,2.32164569,23.9116187
37,2000-02-25,-0.0036200,1.20641005,37.8418744,1.0,-0.0419095,3.55927119,45.9590089,-0.0362796,2.38036733,29.3191082,-0.0240343,1.82848359,45.3107756,-0.0237288,1.82975870,31.5493355,-0.0372137,1.82332316,32.9355910,-0.0318389,2.05115977,45.8261097,0.01004566,4.99203333,34.8236896,-0.0057033,2.64854190,35.9976786,-0.0016449,2.39478671,46.6059792,-0.0017606,2.29840072,23.8122553
38,2000-02-28,0.02097762,1.18531653,43.7526529,1.0,0.02604742,3.49905915,48.5953457,0.00273786,2.39272820,29.8599506,0.03430080,1.88875673,51.1107048,0.01041667,1.87794976,33.6517769,0.02626334,1.93636747,38.5543732,-0.0201341,2.09358331,43.2748404,-0.0488245,4.86634284,32.2827904,0.04397709,2.57247485,41.4276946,0.02718286,2.37938120,51.8605886,0.04409176,2.12957628,31.4780808
39,2000-02-29,0.00964186,1.21009851,46.3317627,1.0,0.01214138,3.22029249,49.8553102,-0.0238907,2.33884988,27.8517286,0.02465986,1.92574745,54.9376526,-0.0103092,1.90821566,32.5743047,0.02269448,1.98553509,43.1066189,-0.0136986,2.13204398,41.6116009,0.04752851,4.90454216,36.8755250,-0.0311356,2.53418220,38.8069685,0.02165198,2.41957493,55.7018056,0.02027023,2.19682786,34.8658018
40,2000-03-01,0.00727603,1.19698050,48.2777110,1.0,0.13685930,3.13371776,61.4613530,0.01608391,2.28128772,31.1296555,0.00995848,1.94210944,56.4565516,0.01909722,1.93142421,36.5832289,-0.0075541,2.00156243,41.9667919,0.01875003,2.06596380,44.7015367,-0.0435571,4.97766249,34.4593141,0.04914936,2.53492793,44.5812228,0.02982750,2.37197060,60.4812560,0.11258280,2.16740695,49.9626294
41,2000-03-02,0.00067686,1.19501060,48.4662703,1.0,-0.0637890,3.47375715,54.2908606,0.02821748,2.24395794,36.6546154,0.01232539,1.93550347,58.3465513,0.00425893,1.91058079,37.4928562,0.02949550,1.96051792,47.7340922,0.00068169,2.12650428,44.8180196,-0.0502846,5.11636797,31.9685166,-0.0216216,2.47387167,42.5839723,-0.0175306,2.34167162,56.5072611,0.07738092,2.47323849,57.9827842
42,2000-03-03,0.01872355,1.17012010,53.5177656,0.0,0.04918040,3.60220191,58.0914747,0.02945114,2.09772716,42.0293675,-0.0170454,1.94463137,54.7628105,-0.0025445,1.91336952,37.1485593,0.03049907,2.04264742,53.0796966,0.00068113,2.11112955,44.9428964,-0.0009990,5.14428230,31.9216325,0.02209945,2.36373593,45.2265940,0.00698216,2.25339287,57.6790696,0.00690609,2.68558222,58.6687763
